"","Type.results","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","Common.Name","Window.size","Window.time","Training.dates","p.adj"
"495","Cumulative",18,8.42814573266018,-2.91871912436258,19.5703665686617,5.7104164755615,9.57185426733982,-1.57036656866172,20.9187191243626,5.7104164755615,0.164885689417017,-22.5182205451895,16.3448381532502,64.4951624307718,0.05,0.0503524672708963,"Pileated Woodpecker",12,"after_eclipse","6,7,9",0.124682299908886
"496","Cumulative",16,3.52463433528808,-4.08089220435237,12.1229483298455,4.10560742864594,12.4753656647119,3.87705167015449,20.0808922043524,4.10560742864594,1.28335023759162,-31.6477335924637,30.3652039983242,52.552957075478,0.05,0.00204081632653061,"Pileated Woodpecker",8,"after_eclipse","6,7,9",0.00816326530612245
"497","Cumulative",4,1.43911812294602,-1.51043651872112,4.33036921669862,1.49004970649807,2.56088187705398,-0.330369216698618,5.51043651872112,1.49004970649807,0.858738168276398,-41.5360804743928,20.5890012356176,49.3368888845411,0.05,0.046,"Pileated Woodpecker",4,"after_eclipse","6,7,9",0.159466666666667
"498","Cumulative",0,0.627006788124706,-8.72870128417372,10.2243464073116,4.7415080718744,-0.627006788124706,-10.2243464073116,8.72870128417373,4.7415080718744,-1,-1,-1,0,0.05,0.448136958710977,"Northern Rough-winged Swallow",28,"after_eclipse","6,7,9",0.470325203252033
"499","Cumulative",0,0.934845626995357,-4.01536053478828,6.11511509037752,2.56729173003678,-0.934845626995357,-6.11511509037752,4.01536053478828,2.56729173003678,-1,-1,-1,0,0.05,0.356136820925553,"Northern Rough-winged Swallow",24,"after_eclipse","6,7,9",0.422018763422629
"500","Cumulative",0,1.10259899874585,-3.27201802333307,5.15141350494537,2.16628551443775,-1.10259899874585,-5.15141350494537,3.27201802333307,2.16628551443775,-1,-1,-1,0,0.05,0.286002014098691,"Northern Rough-winged Swallow",20,"after_eclipse","6,7,9",0.36230839459901
"501","Cumulative",0,1.39455704733621,-1.57679655730369,4.48837758713345,1.55891265877303,-1.39455704733621,-4.48837758713345,1.57679655730369,1.55891265877303,-1,-1,-1,0,0.05,0.189463019250253,"Northern Rough-winged Swallow",16,"after_eclipse","6,7,9",0.317808935516554
"502","Cumulative",0,0.32897663501605,-2.27153473511764,2.77789082841137,1.2452380590339,-0.32897663501605,-2.77789082841137,2.27153473511764,1.2452380590339,-1,-1,-1,0,0.05,0.376767676767677,"Northern Rough-winged Swallow",12,"after_eclipse","6,7,9",0.453593452180738
"503","Cumulative",0,0.20007890993434,-0.826270234362894,1.24002136185763,0.519036665471164,-0.20007890993434,-1.24002136185763,0.826270234362894,0.519036665471164,-1,-1,-1,0,0.05,0.351738241308793,"Northern Rough-winged Swallow",8,"after_eclipse","6,7,9",0.468984321745058
"504","Cumulative",0,0.149833358700695,-0.698441873849035,0.954468080375952,0.405603272679506,-0.149833358700695,-0.954468080375952,0.698441873849034,0.405603272679506,-1,-1,-1,0,0.05,0.348,"Northern Rough-winged Swallow",4,"after_eclipse","6,7,9",0.417599417599418
