"","Species","comparison","p.val","p.val.adj","statistic"
"96","blue jay","7th.0-4vs8th.28-32",0.00168005728374143,0.0050401718512243,-3.14163780136653
"97","blue jay","7th.0-4vs8th.4-8",0.000328479436522366,0.0019708766191342,-3.59173844686693
"98","blue jay","8th.0-4vs8th.28-32",0.551076520293063,0.661291824351675,-0.596147760605614
"99","blue jay","8th.0-4vs8th.4-8",0.207545493124799,0.311318239687198,-1.2603434471501
"100","blue jay","8th.28-32vs8th.4-8",0.731118219067069,0.731118219067069,-0.343638431032236
"101","american robin","7th.0-4vs8th.0-4",0.0117349779727551,0.0234699559455103,-2.52001516090306
"102","american robin","7th.0-4vs8th.28-32",0.825947203044973,0.825947203044973,-0.219902353889812
"103","american robin","7th.0-4vs8th.4-8",0.00597577935639348,0.0194280514096736,-2.74910744825789
"104","american robin","8th.0-4vs8th.28-32",0.0167279248862395,0.0250918873293593,2.39263385996438
"105","american robin","8th.0-4vs8th.4-8",0.793277319595184,0.825947203044973,-0.262057230835356
"106","american robin","8th.28-32vs8th.4-8",0.00647601713655788,0.0194280514096736,-2.72265232340775
"107","american goldfinch","7th.0-4vs8th.0-4",0.0852393206578392,0.494261151119358,-1.72106339560493
"108","american goldfinch","7th.0-4vs8th.28-32",0.329507434079572,0.494261151119358,-0.975106501281235
"109","american goldfinch","7th.0-4vs8th.4-8",0.435948772099317,0.523138526519181,-0.77905252912841
"110","american goldfinch","8th.0-4vs8th.28-32",0.271544903193513,0.494261151119358,1.09951176944906
"111","american goldfinch","8th.0-4vs8th.4-8",0.256593125462218,0.494261151119358,1.13448031716014
"112","american goldfinch","8th.28-32vs8th.4-8",0.914339601854001,0.914339601854001,-0.107566462225308
"113","american crow","7th.0-4vs8th.0-4",0.889212355997796,1,-0.139300928754462
"114","american crow","7th.0-4vs8th.28-32",0.829663684837337,1,-0.215132924450616
"115","american crow","7th.0-4vs8th.4-8",1,1,0
"116","american crow","8th.0-4vs8th.28-32",0.829663684837337,1,-0.215132924450616
"117","american crow","8th.0-4vs8th.4-8",1,1,0
"118","american crow","8th.28-32vs8th.4-8",0.676018195305279,1,0.417902786263386
"119","white-throated sparrow","8th.0-4vs8th.28-32",NA,NA,NA
"120","common yellowthroat","7th.0-4vs8th.28-32",NA,NA,NA
